Title,Year,Director,Actors,Rating,Runtime,Genre,Release_Date,Plot_Summary
Bewitched,2005,Nora Ephron,"Nicole Kidman, Will Ferrell, Shirley MacLaine, Michael Caine",4.8,102,Comedy,2005-06-24,"Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic sitcom Bewitched (1964)."
Envy,2004,Barry Levinson,"Ben Stiller, Jack Black, Rachel Weisz, Amy Poehler",4.8,99,Comedy,2004-04-30,A man becomes increasingly jealous of his friend's newfound success.
The Animal,2001,Luke Greenfield,"Rob Schneider, Colleen Haskell, John C. McGinley, Edward Asner",4.8,84,Comedy,2001-06-01,"After receiving organ transplants from various animal donors, a man finds himself taking on the traits of those animals."
102 Dalmatians,2000,Kevin Lima,"Glenn Close, Gérard Depardieu, Ioan Gruffudd, Alice Evans",4.8,100,Adventure,2000-11-22,Cruella DeVil gets out of prison and goes after the puppies once more.
Double Team,1997,Hark Tsui,"Jean-Claude Van Damme, Dennis Rodman, Mickey Rourke, Paul Freeman",4.8,93,Action,1997-04-04,An international spy teams up with an arms dealer to escape from a penal colony and rescue his family from a terrorist.
Teenage Mutant Ninja Turtles III,1993,Stuart Gillard,"Elias Koteas, Paige Turco, Stuart Wilson, Sab Shimono",4.8,96,Action,1993-03-19,"When their closest friend April O'Neil discovers an ancient scepter with magical powers, the turtles must cow-a-bunga their way back to 17th century Japan to rescue her from the evil clutches of Lord Norinaga."
"Honey, I Blew Up the Kid",1992,Randal Kleiser,"Rick Moranis, Marcia Strassman, Robert Oliveri, Daniel Shalikar",4.8,89,Adventure,1992-07-17,"The Szalinski family is back, this time hilarious disaster strikes when an experiment causes their new toddler son to grow many stories tall."
The Santa Clause 3: The Escape Clause,2006,Michael Lembeck,"Tim Allen, Martin Short, Elizabeth Mitchell, Eric Lloyd",4.7,97,Adventure,2006-11-03,"Santa, a.k.a. Scott Calvin, is faced with double-duty: how to keep his new family happy and how to stop Jack Frost from taking over Christmas."
Are We There Yet?,2005,Brian Levant,"Ice Cube, Nia Long, Aleisha Allen, Philip Bolden",4.7,95,Adventure,2005-01-21,"To impress a foxy divorcee, ladies' man Nick offers to take her kids on an extended road trip, unaware of the torture he's in for."
"Legally Blonde 2: Red, White & Blonde",2003,Charles Herman-Wurmfeld,"Reese Witherspoon, Sally Field, Bob Newhart, Regina King",4.7,95,Comedy,2003-07-02,"Elle Woods heads to Washington, D.C. to join the staff of a Representative in order to pass a bill to ban animal testing."
My Boss's Daughter,2003,David Zucker,"Ashton Kutcher, Tara Reid, Andy Richter, Molly Shannon",4.7,86,Comedy,2003-08-22,"After a man is asked to house sit for his boss, he becomes determined to get closer to the boss's daughter, but events keep unfolding that stop him from achieving his goal."
Dr. Dolittle 2,2001,Steve Carr,"Eddie Murphy, Cedric the Entertainer, Kristen Wilson, Raven-Symoné",4.7,87,Comedy,2001-06-22,Dolittle must save a forest and a bear's life.
Junior,1994,Ivan Reitman,"Arnold Schwarzenegger, Danny DeVito, Emma Thompson, Frank Langella",4.7,109,Comedy,1994-11-23,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body."
Leprechaun,1993,Mark Jones,"Warwick Davis, Jennifer Aniston, Ken Olandt, Mark Holton",4.7,92,Comedy,1993-01-08,"An evil, sadistic Leprechaun goes on a killing rampage in search of his beloved pot of gold."
Howard the Duck,1986,Willard Huyck,"Lea Thompson, Jeffrey Jones, Tim Robbins, Ed Gale",4.7,110,Action,1986-08-01,A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop an alien invasion with the help of a nerdy scientist and a struggling female rock singer.
Snatched,2017,Jonathan Levine,"Amy Schumer, Goldie Hawn, Kim Caramele, Raven Goodwin",4.6,90,Action,2017-05-12,"When her boyfriend dumps her before their exotic vacation, a young woman persuades her ultra-cautious mother to travel with her to paradise, with unexpected results."
Superhero Movie,2008,Craig Mazin,"Drake Bell, Leslie Nielsen, Sara Paxton, Christopher McDonald",4.6,75,Action,2008-03-28,"Orphaned high school student Rick Riker is bitten by a radioactive dragonfly, develops super powers (except for the ability to fly), and becomes a hero."
Deuce Bigalow: European Gigolo,2005,Mike Bigelow,"Rob Schneider, Eddie Griffin, Jeroen Krabbé, Til Schweiger",4.6,83,Comedy,2005-08-12,"Deuce is tricked again into man-whoring by T.J., only in Amsterdam while other man-whores are being murdered in his midst."
Confessions of a Teenage Drama Queen,2004,Sara Sugarman,"Lindsay Lohan, Megan Fox, Adam Garcia, Glenne Headly",4.6,89,Comedy,2004-02-20,"A teenage girl is convinced that her home city revolves around her until her family packs up and moves to the suburbs, where she finds herself competing for attention."
Freddy Got Fingered,2001,Tom Green,"Tom Green, Rip Torn, Marisa Coughlan, Eddie Kaye Thomas",4.6,87,Comedy,2001-04-20,"An unemployed cartoonist moves back in with his parents and younger brother Freddy. When his parents demand he leave, he begins to spread rumors that his father is sexually abusing Freddy."
Look Who's Talking Too,1990,Amy Heckerling,"John Travolta, Kirstie Alley, Olympia Dukakis, Elias Koteas",4.6,81,Comedy,1990-12-14,"This time, a new baby is on the way, and it's a girl. Wrapped together with the standard conflict between mother and father, Mikey engages in a bit of sibling rivalry with his new sister."
Thunder Force,2021,Ben Falcone,"Melissa McCarthy, Octavia Spencer, Jason Bateman, Bobby Cannavale",4.5,106,Action,2021-04-09,"In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city."
Grease 2,1982,Patricia Birch,"Michelle Pfeiffer, Maxwell Caulfield, Lorna Luft, Maureen Teefy",4.5,115,Comedy,1982-06-11,A British student at a 1960s American high school must prove himself to the leader of a girls' gang whose members can only date greasers.
He's All That,2021,Mark Waters,"Addison Rae, Tanner Buchanan, Madison Pettis, Rachael Leigh Cook",4.4,88,Comedy,2021-08-27,"A teenage girl sets out to give a nebbish classmate the ultimate high school makeover. An updated remake of the 1999 film, 'She's All That'."
Nutty Professor II: The Klumps,2000,Peter Segal,"Eddie Murphy, Janet Jackson, Larry Miller, John Ales",4.4,106,Comedy,2000-07-28,"Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines, and his reputation, are threatened by his evil clone Buddy Love."
Look Who's Talking Now,1993,Tom Ropelewski,"John Travolta, Kirstie Alley, David Gallagher, Tabitha Lupien",4.4,96,Comedy,1993-11-05,"The dogs can talk at a family of 4, where mom loses her job the same day dad gets a job as pilot for a cute, single boss."
Movie 43,2013,"Directors:Elizabeth Banks, Steven Brill, Steve Carr, Rusty Cundieff, James Duffy, Griffin Dunne, Peter Farrelly, Patrik Forsberg, Will Graham, James Gunn, Brett Ratner, Jonathan van Tulleken, Bob Odenkirk","Emma Stone, Stephen Merchant, Richard Gere, Liev Schreiber",4.3,94,Comedy,2013-01-25,A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.
Spy Kids 3: Game Over,2003,Robert Rodriguez,"Daryl Sabara, Alexa PenaVega, Antonio Banderas, Carla Gugino",4.3,84,Action,2003-07-25,"Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world."
Bio-Dome,1996,Jason Bloom,"Pauly Shore, Stephen Baldwin, William Atherton, Denise Dowse",4.3,88,Comedy,1996-01-12,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year."
Stop! Or My Mom Will Shoot,1992,Roger Spottiswoode,"Sylvester Stallone, Estelle Getty, JoBeth Williams, Roger Rees",4.3,87,Action,1992-02-21,A tough police sergeant's overbearing mother comes to visit him and begins to meddle in his life and career.
Coolie No. 1,2020,David Dhawan,"Varun Dhawan, Sara Ali Khan, Paresh Rawal, Jaaved Jaaferi",4.2,134,Action,2020-12-24,"After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire."
Norbit,2007,Brian Robbins,"Eddie Murphy, Thandiwe Newton, Terry Crews, Clifton Powell",4.1,103,Comedy,2007-02-09,"A mild-mannered guy, who is married to a monstrous woman, meets the woman of his dreams, and schemes to find a way to be with her."
Super Mario Bros.,1993,"Directors:Annabel Jankel, Rocky Morton","Bob Hoskins, John Leguizamo, Dennis Hopper, Samantha Mathis",4.1,104,Adventure,1993-05-28,"Two Brooklyn plumbers, Mario and Luigi, must travel to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world."
The Cat in the Hat,2003,Bo Welch,"Mike Myers, Spencer Breslin, Dakota Fanning, Alec Baldwin",4.0,82,Adventure,2003-11-21,Two bored children have their lives turned upside down when a talking cat comes to visit them.
Street Fighter,1994,Steven E. de Souza,"Jean-Claude Van Damme, Raul Julia, Ming-Na Wen, Damian Chapa",4.0,102,Action,1994-12-23,Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.
Piranha 3DD,2012,John Gulager,"Danielle Panabaker, Ving Rhames, David Hasselhoff, Matt Bush",3.8,83,Comedy,2012-07-14,"After the events at Lake Victoria, the pre-historic school of blood-thirsty piranhas make their way into a newly opened waterpark."
The Love Guru,2008,Marco Schnabel,"Mike Myers, Jessica Alba, Romany Malco, Jessica Simpson",3.8,87,Comedy,2008-06-20,"Pitka, an American raised outside of his country by gurus, returns to the States in order to break into the self-help business. His first challenge is to settle the romantic troubles and subsequent professional skid of a star hock..."
The Adventures of Pluto Nash,2002,Ron Underwood,"Eddie Murphy, Jay Mohr, Randy Quaid, Rosario Dawson",3.8,95,Action,2002-08-16,"In the future, a man struggles to keep his lunar nightclub out of the hands of the Mafia."
The Adventures of Sharkboy and Lavagirl 3-D,2005,Robert Rodriguez,"Cayden Boyd, George Lopez, Kristin Davis, David Arquette",3.7,93,Action,2005-06-10,A young boy is recruited by his imaginary friends Sharkboy and Lavagirl to help save their planet.
Spice World,1997,Bob Spiers,"Mel B, Emma Bunton, Melanie C, Geri Horner",3.6,93,Comedy,1997-01-23,World famous pop group the Spice Girls zip around London in their luxurious double decker tour bus having various adventures and performing for their fans.
Vampires Suck,2010,"Directors:Jason Friedberg, Aaron Seltzer","Jenn Proske, Matt Lanter, Diedrich Bader, Chris Riggi",3.4,82,Comedy,2010-08-18,"A spoof of vampire-themed movies. Teenager Becca finds herself torn between 2 boys. As she and her friends wrestle with a number of different dramas, everything comes to a head at their prom."
Dumb and Dumberer: When Harry Met Lloyd,2003,Troy Miller,"Derek Richardson, Eric Christian Olsen, Eugene Levy, Timothy Stack",3.4,85,Comedy,2003-06-13,Set back in the 80s when Harry met Lloyd in high school where they cross paths with a mean principal and a bunch of other outcasts much like themselves.
Jack and Jill,2011,Dennis Dugan,"Adam Sandler, Katie Holmes, Al Pacino, Elodie Tougne",3.3,91,Comedy,2011-11-11,"Family guy, Jack Sadelstein, prepares for the annual event he always dreads--the Thanksgiving visit of his fraternal twin sister, the needy, and passive-aggressive Jill, who then refuses to leave."
The Master of Disguise,2002,Perry Andelin Blake,"Dana Carvey, Jennifer Esposito, Harold Gould, James Brolin",3.3,80,Adventure,2002-08-02,An Italian waiter fights off a criminal mastermind with his inherited powers of disguise.
Troll 2,1990,Claudio Fragasso,"Michael Paul Stephenson, George Hardy, Margo Prey, Connie Young",2.9,95,Comedy,1990-10-12,"A vacationing family discovers that the entire town they're visiting is inhabited by goblins, disguised as humans, who plan to eat them."
Meet the Spartans,2008,"Directors:Jason Friedberg, Aaron Seltzer","Sean Maguire, Kevin Sorbo, Carmen Electra, Ken Davitian",2.8,87,Comedy,2008-01-25,"A spoof of 300 (2006) and many other movies, TV series/shows/commercials, video games and celebrities. King Leonidas of Sparta and his army of 12 go to war against Xerxes of Persia to fight to the death for Sparta's freedom."
Date Movie,2006,"Directors:Aaron Seltzer, Jason Friedberg","Alyson Hannigan, Adam Campbell, Fred Willard, Jennifer Coolidge",2.8,83,Comedy,2006-02-17,"Spoof of romantic comedies which focuses on a man, his crush, his parents, and her father."
Laxmii,2020,"Directors:Lawrence Raghavendra, Balakrishnan Thevar","Akshay Kumar, Kiara Advani, Sharad Kelkar, Ashwini Kalsekar",2.6,141,Action,2020-11-09,"Aasif visits his wife's parents' house and happens to go to a ground that is supposedly haunted. However, he is soon possessed by the spirit of a transgender who is out for revenge."
Epic Movie,2007,"Directors:Jason Friedberg, Aaron Seltzer","Kal Penn, Jennifer Coolidge, Fred Willard, Adam Campbell",2.4,86,Adventure,2007-01-26,"A spoof on previous years' epic movies (The Da Vinci Code (2006), The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005) + 20 more), TV series, music videos and celebs. 4 orphans are on an epic adventure."
Son of the Mask,2005,Lawrence Guterman,"Jamie Kennedy, Traylor Howard, Alan Cumming, Liam Falconer",2.2,94,Comedy,2005-02-18,"Tim Avery, an aspiring cartoonist, finds himself in a predicament when his dog stumbles upon the mask of Loki. Then after conceiving an infant son ""born of the mask"", he discovers just how looney child raising can be."
Disaster Movie,2008,"Directors:Jason Friedberg, Aaron Seltzer","Carmen Electra, Vanessa Lachey, Nicole Parker, Matt Lanter",1.9,87,Comedy,2008-08-29,"Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events."
